Question,Response Text,Predicted Answer,Correct Answer,Is Correct
What is 9 * 3?,"9 * 3 = 27

#### 27",27.0,27.0,True
What is 5 * 5?,"The answer to 5 * 5 is 25.

#### 25",25.0,25.0,True
What is 2 * 3?,"To calculate 2 * 3, we simply multiply 2 by 3.

The result is 6.

#### 6",6.0,6.0,True
What is 3 * 1?,"The result of 3 multiplied by 1 is 3.

#### 3",3.0,3.0,True
What is 10 * 1?,"10 * 1 = 10

#### 10",10.0,10.0,True
What is 5 * 4?,"To calculate 5 * 4, we simply multiply 5 by 4.

5 * 4 = 20

#### 20",20.0,20.0,True
What is 7 * 6?,"The result of 7 multiplied by 6 is 42.

#### 42",42.0,42.0,True
What is 9 * 5?,"To calculate 9 * 5, we multiply the numbers together.

9 * 5 = 45

#### 45",45.0,45.0,True
What is 4 * 9?,"4 * 9 = 36

#### 36",36.0,36.0,True
What is 5 * 1?,"The result of 5 * 1 is 5.

#### 5",5.0,5.0,True
What is 5 * 2?,"To calculate 5 * 2, we need to multiply 5 by 2.

5 * 2 = 10

#### 10",10.0,10.0,True
What is 8 * 6?,"8 * 6 = 48

#### 48",48.0,48.0,True
What is 7 * 4?,"7 * 4 = 28

#### 28",28.0,28.0,True
What is 9 * 7?,"To calculate 9 * 7, we multiply 9 by 7.

9 * 7 = 63

#### 63",63.0,63.0,True
What is 5 * 4?,"To calculate 5 * 4, we simply multiply 5 by 4.

5 * 4 = 20

#### 20",20.0,20.0,True
What is 5 * 3?,"5 * 3 = 15

#### 15",15.0,15.0,True
What is 2 * 3?,"The result of 2 multiplied by 3 is 6.

#### 6",6.0,6.0,True
What is 1 * 6?,"The answer to 1 * 6 is 6.

#### 6",6.0,6.0,True
What is 7 * 7?,"The result of multiplying 7 by 7 is 49.

#### 49",49.0,49.0,True
What is 4 * 1?,"4 * 1 = 4

#### 4",4.0,4.0,True
What is 6 * 1?,"6 * 1 = 6

#### 6",6.0,6.0,True
What is 5 * 10?,"5 * 10 = 50

#### 50",50.0,50.0,True
What is 6 * 1?,"The answer to 6 * 1 is 6.

#### 6",6.0,6.0,True
What is 7 * 9?,"The answer to 7 * 9 is 63.

#### 63",63.0,63.0,True
What is 5 * 2?,"The answer to 5 * 2 is 10.

#### 10",10.0,10.0,True
What is 5 * 7?,"5 * 7 equals 35.

#### 35",35.0,35.0,True
What is 1 * 7?,"1 * 7 equals 7.

#### 7",7.0,7.0,True
What is 3 * 8?,"To calculate 3 * 8, we need to multiply 3 by 8.

3 * 8 = 24

#### 24",24.0,24.0,True
What is 8 * 10?,"The result of 8 multiplied by 10 is 80.

#### 80",80.0,80.0,True
What is 8 * 7?,"8 * 7 = 56

#### 56",56.0,56.0,True
What is 5 * 10?,"The answer to 5 * 10 is 50.

#### 50",50.0,50.0,True
What is 1 * 2?,"The result of 1 * 2 is 2.

#### 2",2.0,2.0,True
What is 2 * 8?,"2 * 8 = 16

#### 16",16.0,16.0,True
What is 6 * 9?,"The answer to 6 * 9 is 54.

#### 54",54.0,54.0,True
What is 9 * 8?,"The result of 9 * 8 is 72.

#### 72",72.0,72.0,True
What is 5 * 5?,"5 * 5 = 25

#### 25",25.0,25.0,True
What is 10 * 3?,"The result of 10 * 3 is 30.

#### 30",30.0,30.0,True
What is 7 * 9?,"7 * 9 = 63

#### 63",63.0,63.0,True
What is 6 * 9?,"6 * 9 = 54

#### 54",54.0,54.0,True
What is 2 * 8?,"To calculate 2 * 8, we multiply 2 by 8.

The result is 16.

#### 16",16.0,16.0,True
What is 4 * 4?,"The answer to 4 * 4 is 16.

#### 16",16.0,16.0,True
What is 6 * 8?,"To calculate 6 * 8, we need to multiply 6 by 8.

6 * 8 = 48

#### 48",48.0,48.0,True
What is 6 * 6?,"6 * 6 = 36

#### 36",36.0,36.0,True
What is 3 * 4?,"3 * 4 = 12

#### 12",12.0,12.0,True
What is 1 * 6?,"1 multiplied by 6 equals 6.

#### 6",6.0,6.0,True
What is 10 * 3?,"To calculate 10 * 3, we need to multiply 10 by 3.

10 * 3 = 30

#### 30",30.0,30.0,True
What is 2 * 1?,"The answer to 2 * 1 is 2.

#### 2",2.0,2.0,True
What is 2 * 8?,"To find the answer, we need to multiply 2 by 8.

2 * 8 = 16

#### 16",16.0,16.0,True
What is 9 * 9?,"9 * 9 = 81

#### 81",81.0,81.0,True
What is 10 * 9?,"10 * 9 = 90

#### 90",90.0,90.0,True
What is 10 * 4?,"10 * 4 = 40

#### 40",40.0,40.0,True
What is 4 * 10?,"4 * 10 = 40

#### 40",40.0,40.0,True
What is 6 * 8?,"6 * 8 = 48

#### 48",48.0,48.0,True
What is 8 * 4?,"To find the answer, I'll multiply 8 by 4.

8 * 4 = 32

#### 32",32.0,32.0,True
What is 4 * 3?,"4 * 3 = 12

#### 12",12.0,12.0,True
What is 1 * 4?,"The answer to 1 * 4 is 4.

#### 4",4.0,4.0,True
What is 1 * 3?,"The answer to 1 * 3 is 3.

#### 3",3.0,3.0,True
What is 3 * 6?,"3 * 6 = 18

#### 18",18.0,18.0,True
What is 10 * 6?,"10 * 6 = 60

#### 60",60.0,60.0,True
What is 8 * 3?,"8 * 3 = 24

#### 24",24.0,24.0,True
What is 6 * 8?,"The result of multiplying 6 and 8 is 48.

#### 48",48.0,48.0,True
What is 7 * 5?,"7 * 5 = 35

#### 35",35.0,35.0,True
What is 10 * 3?,"To calculate 10 * 3, we need to multiply 10 by 3.

10 * 3 = 30

#### 30",30.0,30.0,True
What is 4 * 3?,"To calculate 4 * 3, we need to multiply 4 by 3.

4 * 3 = 12

#### 12",12.0,12.0,True
What is 1 * 6?,"1 * 6 = 6

#### 6",6.0,6.0,True
